DISTRICT NUMBER,DISTRICT NAME,YEAR,ALL FUNDS-LOCAL TAX REVENUE FROM M&O,ALL FUNDS-STATE REVENUE,ALL FUNDS-OTHER LOCAL & INTERMEDIATE REVENUE,ALL FUNDS-LOCAL PROPERTY TAXES FROM I&S,ALL FUNDS-STATE DEBT FUNDS,ALL FUNDS-OTHER RECEIPTS,ALL FUNDS-DEBT SERVICE FINANCING RELATED REVENUE,Revenue Sum,Revenue Sum w/ Debt,REPORT_CHARTER_STATUS,2018-2019 ADA,REGION,COUNTY,Asian,Black or African American,Hispanic/Latino,Two or more races,White,American Indian or Alaska Nat,Native Hawaiian/Other Pacific,Total Ethnicity,District 2019 Overall Rating,District 2019 Overall Scaled Score,Student Achievement Rating,Student Achievement Scaled Score,School Progress Resolved Rating,School Progress Resolved Scaled Score,Closing the Gaps Rating,Closing the Gaps Scaled Score,Rated Under AEA Procedures,Charter Operator,New Charter Operator,Residential Treatment Facility,Single District Campus - PEIMS,# Enrolled in Grades 3-12,% Enrolled in Grades 3-12,All Students Count,# Economically Disadvantaged,% Economically Disadvantaged,# LEP Students,% LEP Students,# Special Education,% Special Education,# Enrolled in Early College High School,% Enrolled in Early College High School,# Pathways in Technology ECHS,% Pathways in Technology ECHS,# Enrolled in a T-Stem Academy,% Enrolled in a T-Stem Academy,Total AEA Bonus Points Received,AEA Bonus Graduation or Dropout Rate Used,AEA Bonus GRAD/CCMR Points Received,AEA Bonus STAAR Percentage,AEA Bonus STAAR Points Received,Any Change due to Appeal,Number of Consecutive Years Improvement Required (IR),County Name,County #,Postsecondary Readiness Distinction,"Final Rating Update Status: 1 = Appeal granted, 2 = Rating update to 'Q' - Not Rated due to Data Integrity issue",STAAR Component Raw Score,STAAR Component Scaled Score,CCMR Component Raw Score,CCMR Component Scaled Score,Graduation Rate Component Raw Score,Graduation Rate Component Scaled Score,Academic Growth Raw Score
132902,JAYTON-GIRARD ISD,2019,2490975,385268,2960843,447271,0,230058,0,6514415,6514415,Traditional ISD/CSD,138.336,17,KENT COUNTY,0,0,32,3,117,0,0,152,A,97,A,95,A,90,A,100,N,N,NA,N,Y,.,.,151,52,34.4,0,0,20,13.2,0,0,.,.,.,.,.,.,.,.,.,NA,.,KENT,'132,NA,NA,63,91,88,97,100,100,72
133901,CENTER POINT ISD,2019,3286177,2657112,230216,128897,3456,98751,0,6404609,6404609,Traditional ISD/CSD,532.685,20,KERR COUNTY,2,6,315,9,237,0,0,569,Data Integrity Issues,89,B,89,A,92,B,83,N,N,N,N,N,429,75.400000000000006,569,395,69.4,108,19,65,11.4,0,0,0,0,0,0,.,.,.,.,.,NA,.,KERR,'133,NA,2,46,78,81,95,100,100,71
133902,HUNT ISD,2019,1974327,300879,97499,407507,3647,24986,0,2808845,2808845,Traditional ISD/CSD,180.696,20,KERR COUNTY,1,1,69,3,129,0,1,204,B,83,B,85,B,83,C,79,N,N,NA,N,Y,.,.,204,102,50,36,17.6,18,8.8,0,0,.,.,.,.,.,.,.,.,.,NA,.,KERR,'133,NA,NA,56,85,.,.,.,.,75
133903,KERRVILLE ISD,2019,27497589,9065981,2211013,3786883,99313,6899,980402,42667678,43648080,Traditional ISD/CSD,"4,597.553",20,KERR COUNTY,71,94,2263,79,2428,15,7,4957,B,89,B,88,A,90,B,89,N,N,N,N,N,3642,73.5,4954,2782,56.2,390,7.9,459,9.3,0,0,0,0,0,0,.,.,.,.,.,NA,.,KERR,'133,1,NA,55,86,61,90,97.3,90,67
133904,INGRAM ISD,2019,5789578,4738868,360472,1161264,38400,168610,0,12257192,12257192,Traditional ISD/CSD,"1,059.285",20,KERR COUNTY,3,6,534,27,598,0,0,1168,A,90,B,88,A,92,B,85,N,N,N,N,N,860,73.599999999999994,1168,915,78.3,187,16,110,9.4,0,0,0,0,0,0,.,.,.,.,.,NA,.,KERR,'133,0,NA,50,82,71,93,96.9,90,70
133905,DIVIDE ISD,2019,332617,26664,73360,0,0,0,0,432641,432641,Traditional ISD/CSD,17.655,20,KERR COUNTY,0,0,3,0,18,0,0,21,A,97,A,97,A,91,Not Rated,.,N,N,NA,N,Y,.,.,21,0,0,1,4.8,5,23.8,0,0,.,.,.,.,.,.,.,.,.,NA,.,KERR,'133,NA,NA,88,97,.,.,.,.,72
134901,JUNCTION ISD,2019,4218626,2397518,172216,0,0,297300,0,7085660,7085660,Traditional ISD/CSD,547.390,15,KIMBLE COUNTY,2,0,233,6,364,0,0,605,B,81,B,82,B,83,C,77,N,N,N,N,N,442,73.099999999999994,605,393,65,20,3.3,78,12.9,0,0,0,0,0,0,.,.,.,.,.,NA,.,KIMBLE,'134,0,NA,46,78,51,78,100,100,63
135001,GUTHRIE CSD,2019,1729484,737670,274478,461438,456,170270,0,3373796,3373796,Traditional ISD/CSD,95.169,17,KING COUNTY,0,0,8,0,98,0,0,106,A,98,A,97,A,91,A,100,N,N,NA,N,Y,.,.,101,25,24.8,4,4,4,4,0,0,.,.,.,.,.,.,.,.,.,NA,.,KING,'135,NA,NA,71,93,95,99,100,100,75
136901,BRACKETT ISD,2019,3196322,2883124,553965,0,0,50000,0,6683411,6683411,Traditional ISD/CSD,515.389,20,KINNEY COUNTY,2,2,386,6,163,1,0,560,A,90,B,88,A,91,B,88,N,N,N,N,N,428,76.7,558,319,57.2,24,4.3,67,12,0,0,0,0,0,0,.,.,.,.,.,NA,.,KINNEY,'136,0,NA,51,82,75,94,97.9,90,66
137901,KINGSVILLE ISD,2019,10055853,19784729,387220,2995425,1145117,0,756000,34368344,35124344,Traditional ISD/CSD,"2,927.867",2,KLEBERG COUNTY,25,117,2834,7,329,2,2,3316,Data Integrity Issues,84,C,74,B,89,C,72,N,N,N,N,N,2338,70.599999999999994,3313,2605,78.6,109,3.3,418,12.6,949,28.6,0,0,0,0,.,.,.,.,.,NA,.,KLEBERG,'137,NA,2,34,59,75,94,89.5,65,61
137902,RICARDO ISD,2019,1969870,5374453,365764,0,0,0,0,7710087,7710087,Traditional ISD/CSD,630.694,2,KLEBERG COUNTY,3,9,577,4,96,0,0,689,A,93,A,90,A,91,A,98,N,N,N,N,N,406,58.9,689,400,58.1,18,2.6,50,7.3,0,0,0,0,0,0,.,.,.,.,.,NA,.,KLEBERG,'137,NA,NA,60,90,.,.,.,.,71
137903,RIVIERA ISD,2019,2907451,2484483,608520,0,0,10192,0,6010646,6010646,Traditional ISD/CSD,393.762,2,KLEBERG COUNTY,1,0,333,5,104,1,0,444,A,92,A,90,A,93,B,89,N,N,N,N,N,352,80.400000000000006,438,290,66.2,19,4.3,34,7.8,119,27.2,0,0,0,0,.,.,.,.,.,NA,.,KLEBERG,'137,0,NA,51,82,88,97,97.1,90,64
137904,SANTA GERTRUDIS ISD,2019,1144554,6594409,716922,358703,390060,3540,0,9208188,9208188,Traditional ISD/CSD,755.105,2,KLEBERG COUNTY,24,12,583,9,173,3,0,804,A,94,A,95,A,93,A,90,N,N,N,N,N,650,80.8,804,354,44,7,0.9,21,2.6,0,0,0,0,0,0,.,.,.,.,.,NA,.,KLEBERG,'137,1,NA,67,92,82,96,100,100,73
138902,KNOX CITY-O'BRIEN CISD,2019,946713,2536478,162223,0,0,20460,0,3665874,3665874,Traditional ISD/CSD,244.673,9,KNOX COUNTY,3,9,144,4,109,0,0,269,B,89,A,90,A,92,B,82,N,N,N,N,N,189,70.3,269,193,71.7,18,6.7,38,14.1,0,0,0,0,0,0,.,.,.,.,.,NA,.,KNOX,'138,0,NA,47,79,83,96,100,100,73
138903,MUNDAY CISD,2019,1168257,3028390,870014,765126,0,2000,0,5833787,5833787,Traditional ISD/CSD,329.853,9,KNOX COUNTY,2,24,190,14,161,1,0,392,B,86,B,87,B,87,B,83,N,N,N,N,N,244,67.400000000000006,362,230,63.5,20,5.5,57,15.7,0,0,0,0,0,0,.,.,.,.,.,NA,.,KNOX,'138,0,NA,47,79,58,88,100,100,70
138904,BENJAMIN ISD,2019,718136,1001540,248370,0,0,187890,0,2155936,2155936,Traditional ISD/CSD,111.201,9,KNOX COUNTY,1,0,49,7,61,0,0,118,A,91,A,92,A,92,A,90,N,N,NA,N,Y,.,.,118,82,69.5,2,1.7,12,10.2,0,0,.,.,.,.,.,.,.,.,.,NA,.,KNOX,'138,NA,NA,56,85,83,96,100,100,73
139905,CHISUM ISD,2019,8733259,1527176,810436,1891520,9183,301713,0,13273287,13273287,Traditional ISD/CSD,872.856,8,LAMAR COUNTY,0,30,74,23,804,13,0,944,A,92,A,92,A,92,A,91,N,N,N,N,N,688,73,942,518,55,45,4.8,93,9.9,0,0,0,0,0,0,.,.,.,.,.,NA,.,LAMAR,'139,0,NA,57,87,75,94,100,100,73
139908,ROXTON ISD,2019,1184559,575618,20195,57245,11741,16108,0,1865466,1865466,Traditional ISD/CSD,122.754,8,LAMAR COUNTY,0,12,21,6,97,1,0,137,C,78,B,80,B,81,C,71,N,N,NA,N,Y,.,.,136,111,81.6,9,6.6,28,20.6,0,0,.,.,.,.,.,.,.,.,.,NA,.,LAMAR,'139,NA,NA,38,65,53,84,100,100,62
139909,PARIS ISD,2019,9118465,23246622,1392561,2228977,1296379,0,0,37283004,37283004,Traditional ISD/CSD,"3,449.015",8,LAMAR COUNTY,30,1205,899,270,1373,35,1,3813,B,86,B,85,A,90,C,78,N,N,N,N,N,2568,67.400000000000006,3810,2968,77.9,412,10.8,482,12.7,0,0,0,0,0,0,.,.,.,.,.,NA,.,LAMAR,'139,0,NA,45,76,60,90,98.6,95,67
139911,NORTH LAMAR ISD,2019,12771302,7468469,3378191,0,0,849782,0,24467744,24467744,Traditional ISD/CSD,"2,330.097",8,LAMAR COUNTY,26,107,259,105,1902,54,3,2456,B,89,B,88,A,90,B,87,N,N,N,N,N,1903,77.5,2456,1254,51.1,74,3,342,13.9,0,0,0,0,0,0,.,.,.,.,.,NA,.,LAMAR,'139,0,NA,51,82,71,93,97.3,90,69
139912,PRAIRILAND ISD,2019,2255459,7217703,541502,290592,232460,790,0,10538506,10538506,Traditional ISD/CSD,"1,074.210",8,LAMAR COUNTY,0,5,98,36,995,12,0,1146,B,88,B,88,B,89,B,85,N,N,N,N,N,827,72.2,1146,609,53.1,30,2.6,99,8.6,0,0,0,0,0,0,.,.,.,.,.,NA,.,LAMAR,'139,0,NA,49,81,79,95,97.4,90,68
140901,AMHERST ISD,2019,551552,1321662,17239,0,0,16515,0,1906968,1906968,Traditional ISD/CSD,133.797,17,LAMB COUNTY,0,6,126,1,9,0,0,142,B,86,B,83,A,91,C,73,N,N,NA,N,Y,.,.,142,116,81.7,69,48.6,16,11.3,0,0,.,.,.,.,.,.,.,.,.,NA,.,LAMB,'140,NA,NA,33,58,100,100,100,100,69
140904,LITTLEFIELD ISD,2019,2663162,10289823,1138617,0,0,271061,0,14362663,14362663,Traditional ISD/CSD,"1,239.210",17,LAMB COUNTY,4,84,984,17,263,3,0,1355,A,90,A,90,A,94,B,81,N,N,N,N,N,977,72.400000000000006,1350,1023,75.8,89,6.6,144,10.7,0,0,0,0,0,0,.,.,.,.,.,NA,.,LAMB,'140,0,NA,44,75,98,100,100,100,65
140905,OLTON ISD,2019,1540596,5382434,197605,0,0,209719,0,7330354,7330354,Traditional ISD/CSD,557.445,17,LAMB COUNTY,0,5,457,0,128,0,1,591,B,86,A,90,B,89,C,78,N,N,N,N,N,460,78.5,586,440,75.1,97,16.6,50,8.5,0,0,0,0,0,0,.,.,.,.,.,NA,.,LAMB,'140,0,NA,46,78,91,98,100,100,62
140907,SPRINGLAKE-EARTH ISD,2019,1032704,3163498,172366,0,0,65073,0,4433641,4433641,Traditional ISD/CSD,324.699,17,LAMB COUNTY,0,4,245,0,102,0,0,351,B,85,B,88,B,89,C,75,N,N,N,N,N,256,72.900000000000006,351,249,70.9,58,16.5,51,14.5,0,0,0,0,0,0,.,.,.,.,.,NA,.,LAMB,'140,0,NA,41,71,90,98,100,100,67
140908,SUDAN ISD,2019,4796516,587675,411832,703112,3396,5916,0,6508447,6508447,Traditional ISD/CSD,450.931,17,LAMB COUNTY,0,3,261,4,206,1,0,475,A,93,A,94,A,94,B,89,N,N,N,N,N,337,70.900000000000006,475,252,53.1,35,7.4,46,9.7,0,0,0,0,0,0,.,.,.,.,.,NA,.,LAMB,'140,1,NA,53,84,100,100,100,100,69
141901,LAMPASAS ISD,2019,13887213,14538544,1718812,3336614,125412,21590,0,33628185,33628185,Traditional ISD/CSD,"3,131.765",12,LAMPASAS COUNTY,27,83,891,164,2142,22,29,3358,B,86,B,88,B,86,B,81,N,N,N,N,N,2541,76.099999999999994,3337,1730,51.8,121,3.6,431,12.9,0,0,0,0,0,0,.,.,.,.,.,NA,.,LAMPASAS,'141,0,NA,47,79,64,91,100,100,67
141902,LOMETA ISD,2019,1389545,1889265,47132,417443,8898,1461,0,3753744,3753744,Traditional ISD/CSD,271.858,12,LAMPASAS COUNTY,3,2,162,2,117,3,0,289,B,87,B,87,A,91,C,76,N,N,NA,N,Y,.,.,289,228,78.9,39,13.5,43,14.9,0,0,.,.,.,.,.,.,.,.,.,NA,.,LAMPASAS,'141,NA,NA,40,69,92,98,100,100,68
142901,COTULLA ISD,2019,15204937,839970,2042301,10156184,15260,0,0,28258652,28258652,Traditional ISD/CSD,"1,217.539",20,LA SALLE COUNTY,5,1,1275,4,61,1,0,1347,B,84,C,75,B,87,C,76,N,N,N,N,N,998,74.400000000000006,1342,1196,89.1,98,7.3,181,13.5,0,0,0,0,0,0,.,.,.,.,.,NA,.,LA SALLE,'142,0,NA,41,71,56,85,88.8,65,71
143901,HALLETTSVILLE ISD,2019,7824312,3324910,1064056,2047035,41731,696242,366885,14998286,15365171,Traditional ISD/CSD,"1,057.422",3,LAVACA COUNTY,3,107,240,37,740,4,0,1131,B,88,B,89,B,89,B,86,N,N,N,N,N,872,77.400000000000006,1126,507,45,28,2.5,106,9.4,0,0,0,0,0,0,.,.,.,.,.,NA,.,LAVACA,'143,0,NA,52,83,70,93,98.8,95,67
143902,MOULTON ISD,2019,2933144,303109,86869,3417,0,47315,0,3373854,3373854,Traditional ISD/CSD,256.254,3,LAVACA COUNTY,1,1,124,4,147,2,0,279,B,84,B,82,B,87,C,78,N,N,N,N,N,211,75.900000000000006,278,164,59,29,10.4,41,14.7,0,0,0,0,0,0,.,.,.,.,.,NA,.,LAVACA,'143,1,NA,54,85,41,71,100,100,74
143903,SHINER ISD,2019,5109558,914307,691566,422093,0,19197,0,7156721,7156721,Traditional ISD/CSD,618.795,3,LAVACA COUNTY,4,36,118,13,492,3,0,666,A,93,A,94,A,91,A,90,N,N,N,N,N,488,73.7,662,225,34,11,1.7,80,12.1,0,0,0,0,0,0,.,.,.,.,.,NA,.,LAVACA,'143,0,NA,65,91,77,94,100,100,72
143904,VYSEHRAD ISD,2019,550776,625763,72627,0,0,15391,0,1264557,1264557,Traditional ISD/CSD,113.393,3,LAVACA COUNTY,2,18,11,4,91,0,0,126,B,80,B,82,C,79,C,74,N,N,NA,N,Y,.,.,126,55,43.7,1,0.8,6,4.8,.,0,.,.,.,.,.,.,.,.,.,NA,.,LAVACA,'143,NA,NA,54,82,.,.,.,.,66
143905,SWEET HOME ISD,2019,729356,698339,98643,0,0,41298,0,1567636,1567636,Traditional ISD/CSD,126.445,3,LAVACA COUNTY,0,0,20,4,119,0,0,143,B,86,A,90,C,70,C,76,N,N,NA,N,Y,.,.,143,25,17.5,0,0,6,4.2,.,0,.,.,.,.,.,.,.,.,.,NA,.,LAVACA,'143,NA,NA,61,90,.,.,.,.,67
143906,EZZELL ISD,2019,812883,206164,59699,231066,6796,102725,0,1419333,1419333,Traditional ISD/CSD,82.675,3,LAVACA COUNTY,0,2,6,5,79,0,0,92,B,85,B,89,B,85,C,75,N,N,NA,N,Y,.,.,92,43,46.7,0,0,4,4.3,0,0,.,.,.,.,.,.,.,.,.,NA,.,LAVACA,'143,NA,NA,59,89,.,.,.,.,73
144901,GIDDINGS ISD,2019,8456531,7171678,949532,2370230,58597,687,0,19007255,19007255,Traditional ISD/CSD,"1,741.512",13,LEE COUNTY,13,149,1065,41,600,2,1,1871,B,86,B,87,B,89,B,80,N,N,N,N,N,1434,77.3,1854,1225,66.1,386,20.8,203,10.9,0,0,0,0,0,0,.,.,.,.,.,NA,.,LEE,'144,0,NA,47,79,61,90,98.1,95,72
144902,LEXINGTON ISD,2019,4838414,5779501,438824,545782,0,22656,0,11625177,11625177,Traditional ISD/CSD,977.623,13,LEE COUNTY,1,75,177,49,717,5,2,1026,B,88,A,91,B,89,B,81,N,N,N,N,N,785,76.7,1023,400,39.1,24,2.3,96,9.4,0,0,0,0,0,0,.,.,.,.,.,NA,.,LEE,'144,0,NA,50,82,80,95,100,100,68
144903,DIME BOX ISD,2019,1436155,645211,71062,0,0,15000,0,2167428,2167428,Traditional ISD/CSD,142.484,13,LEE COUNTY,0,54,54,11,34,0,0,153,B,81,B,83,B,83,C,75,N,N,NA,N,Y,.,.,153,114,74.5,18,11.8,25,16.3,0,0,.,.,.,.,.,.,.,.,.,NA,.,LEE,'144,NA,NA,39,67,62,91,100,100,70
145901,BUFFALO ISD,2019,4552505,5123387,319002,517495,12652,0,945804,10525041,11470845,Traditional ISD/CSD,871.294,6,LEON COUNTY,8,37,389,27,484,0,0,945,A,90,A,91,A,91,B,89,N,N,N,N,N,684,72.5,944,620,65.7,155,16.4,75,7.9,0,0,0,0,0,0,.,.,.,.,.,NA,.,LEON,'145,0,NA,54,85,67,92,100,100,69
145902,CENTERVILLE ISD,2019,3033132,3669422,861914,805271,29677,1409100,0,9808516,9808516,Traditional ISD/CSD,626.248,6,LEON COUNTY,3,67,69,8,506,3,0,656,B,84,B,83,B,81,B,87,N,N,N,N,N,479,73.400000000000006,653,320,49,19,2.9,58,8.9,0,0,0,0,0,0,.,.,.,.,.,NA,.,LEON,'145,0,NA,52,83,53,80,97.9,90,69
145906,NORMANGEE ISD,2019,3129389,2304214,175162,1329734,28013,0,0,6966512,6966512,Traditional ISD/CSD,553.141,6,LEON COUNTY,7,43,85,17,449,4,0,605,A,91,A,90,A,91,A,90,N,N,N,N,N,469,77.5,605,324,53.6,17,2.8,57,9.4,0,0,0,0,0,0,.,.,.,.,.,NA,.,LEON,'145,0,NA,50,82,73,93,100,100,71
145907,OAKWOOD ISD,2019,1637367,581667,50862,272994,5263,0,134381,2548153,2682534,Traditional ISD/CSD,175.890,6,LEON COUNTY,0,39,34,9,116,0,1,199,B,80,B,81,B,83,C,72,N,N,N,N,N,132,66.3,199,168,84.4,3,1.5,17,8.5,0,0,0,0,0,0,.,.,.,.,.,NA,.,LEON,'145,0,NA,46,78,46,75,100,100,68
145911,LEON ISD,2019,6846603,1611711,558647,1581409,16316,22032,0,10636718,10636718,Traditional ISD/CSD,685.956,6,LEON COUNTY,17,4,231,10,483,1,0,746,B,85,B,88,B,87,C,78,N,N,N,N,N,560,75.099999999999994,746,391,52.4,111,14.9,61,8.2,0,0,0,0,0,0,.,.,.,.,.,NA,.,LEON,'145,0,NA,52,83,60,90,98.4,95,68
146901,CLEVELAND ISD,2019,15963596,43012274,942902,5650042,1656910,46864,0,67272588,67272588,Traditional ISD/CSD,"6,103.044",4,LIBERTY COUNTY,19,355,4900,101,1179,27,3,6584,C,77,D,69,B,80,D,69,N,N,N,N,N,4846,73.8,6568,5680,86.5,2793,42.5,484,7.4,0,0,0,0,0,0,.,.,.,.,.,NA,.,LIBERTY,'146,0,NA,37,65,49,77,86.5,60,59
146902,DAYTON ISD,2019,20131026,23934108,1922171,6374009,110451,0,0,52471765,52471765,Traditional ISD/CSD,"5,008.181",4,LIBERTY COUNTY,25,389,2285,105,2554,56,4,5418,C,78,C,77,C,79,C,74,N,N,N,N,N,4001,74,5406,3606,66.7,997,18.4,517,9.6,0,0,0,0,0,0,.,.,.,.,.,NA,.,LIBERTY,'146,0,NA,40,70,50,78,97.1,90,64
146903,DEVERS ISD,2019,1886053,217177,133527,130422,1687,40000,0,2408866,2408866,Traditional ISD/CSD,166.201,4,LIBERTY COUNTY,0,9,50,4,112,0,1,176,A,96,A,94,A,94,A,100,N,N,N,N,N,105,59.7,176,85,48.3,28,15.9,17,9.7,0,0,0,0,0,0,.,.,.,.,.,NA,.,LIBERTY,'146,NA,NA,75,94,.,.,.,.,79
146904,HARDIN ISD,2019,4625293,7292574,446240,1224588,162384,0,0,13751079,13751079,Traditional ISD/CSD,"1,301.037",4,LIBERTY COUNTY,1,51,197,36,1132,13,0,1430,B,83,B,86,B,83,C,75,N,N,N,N,N,1058,74.099999999999994,1427,798,55.9,31,2.2,105,7.4,0,0,0,0,0,0,.,.,.,.,.,NA,.,LIBERTY,'146,0,NA,42,73,62,91,100,100,67
146905,HULL-DAISETTA ISD,2019,3096344,2731573,3049284,177585,2628,104700,0,9162114,9162114,Traditional ISD/CSD,451.443,5,LIBERTY COUNTY,0,46,50,13,368,2,0,479,B,84,B,80,B,87,C,78,N,N,N,N,N,356,74.3,479,344,71.8,15,3.1,53,11.1,0,0,0,0,0,0,.,.,.,.,.,NA,.,LIBERTY,'146,0,NA,34,59,67,92,100,100,65
146906,LIBERTY ISD,2019,9428136,9703886,3714860,3164529,55187,0,0,26066598,26066598,Traditional ISD/CSD,"2,024.738",5,LIBERTY COUNTY,17,338,873,90,906,3,0,2227,B,83,B,84,B,86,C,76,N,N,N,N,N,1596,71.900000000000006,2220,1406,63.3,392,17.7,267,12,0,0,0,0,0,0,.,.,.,.,.,NA,.,LIBERTY,'146,0,NA,45,76,58,88,96.7,90,68
146907,TARKINGTON ISD,2019,7844167,9561771,752005,185754,101787,0,0,18445484,18445484,Traditional ISD/CSD,"1,700.554",4,LIBERTY COUNTY,3,11,211,31,1542,6,6,1810,B,89,B,89,B,88,B,88,N,N,N,N,N,1376,76.2,1805,893,49.5,61,3.4,215,11.9,0,0,0,0,0,0,.,.,.,.,.,NA,.,LIBERTY,'146,0,NA,50,82,66,92,99,95,66
147901,COOLIDGE ISD,2019,516258,3077318,126702,41763,147738,0,10000,3909779,3919779,Traditional ISD/CSD,281.490,12,LIMESTONE COUNTY,0,52,160,10,87,0,0,309,A,91,A,91,A,93,B,86,N,N,N,N,N,211,68.5,308,244,79.2,38,12.3,48,15.6,0,0,0,0,0,0,.,.,.,.,.,NA,.,LIMESTONE,'147,0,NA,49,81,82,96,100,100,64
147902,GROESBECK ISD,2019,11644582,1963567,741726,2973865,36895,157510,6702387,17518145,24220532,Traditional ISD/CSD,"1,559.414",12,LIMESTONE COUNTY,15,185,484,67,931,5,0,1687,B,80,B,83,B,85,D,69,N,N,N,N,N,1250,74.3,1682,1202,71.5,89,5.3,194,11.5,0,0,0,0,0,0,.,.,.,.,.,NA,.,LIMESTONE,'147,0,NA,42,73,56,85,100,100,70
147903,MEXIA ISD,2019,4970628,12585736,336895,223706,335122,0,645000,18452087,19097087,Traditional ISD/CSD,"1,725.493",12,LIMESTONE COUNTY,17,492,853,60,465,5,0,1892,B,83,C,79,B,87,C,75,N,N,N,N,N,1356,71.8,1889,1301,68.9,345,18.3,209,11.1,0,0,0,0,0,0,.,.,.,.,.,NA,.,LIMESTONE,'147,0,NA,35,60,69,92,97.8,90,64
148901,BOOKER ISD,2019,2407553,2173800,189514,0,0,30341,0,4801208,4801208,Traditional ISD/CSD,360.854,16,LIPSCOMB COUNTY,0,0,291,2,99,4,0,396,A,94,A,93,A,93,A,97,N,N,N,N,N,274,69.400000000000006,395,263,66.6,118,29.9,35,8.9,0,0,0,0,0,0,.,.,.,.,.,NA,.,LIPSCOMB,'148,0,NA,56,87,84,96,100,100,77
148902,FOLLETT ISD,2019,1421573,457724,162698,258537,2480,58774,2348,2361786,2364134,Traditional ISD/CSD,120.573,16,LIPSCOMB COUNTY,0,0,42,3,87,1,0,133,B,88,B,89,B,87,B,87,N,N,NA,N,Y,.,.,133,65,48.9,14,10.5,9,6.8,0,0,.,.,.,.,.,.,.,.,.,NA,.,LIPSCOMB,'148,NA,NA,52,79,77,94,100,100,71
148903,HIGGINS ISD,2019,1565254,307223,107057,590664,0,75702,0,2645900,2645900,Traditional ISD/CSD,87.792,16,LIPSCOMB COUNTY,0,2,27,1,72,2,0,104,C,74,C,74,C,75,C,72,N,N,NA,N,Y,.,.,104,69,66.3,11,10.6,14,13.5,0,0,.,.,.,.,.,.,.,.,.,NA,.,LIPSCOMB,'148,NA,NA,43,72,31,64,100,100,66
148905,DARROUZETT ISD,2019,871800,880880,21749,584425,7711,198794,0,2565359,2565359,Traditional ISD/CSD,107.699,16,LIPSCOMB COUNTY,0,0,55,6,56,1,0,118,B,80,B,80,B,82,C,75,N,N,NA,N,Y,.,.,118,81,68.6,3,2.5,12,10.2,0,0,.,.,.,.,.,.,.,.,.,NA,.,LIPSCOMB,'148,NA,NA,34,59,68,92,100,100,70
149901,GEORGE WEST ISD,2019,7223785,1921861,565824,2107094,20089,18000,0,11856653,11856653,Traditional ISD/CSD,"1,012.950",2,LIVE OAK COUNTY,1,4,622,22,426,4,0,1079,A,94,A,91,A,92,A,97,N,N,N,N,N,806,75.099999999999994,1073,660,61.5,31,2.9,111,10.3,0,0,0,0,0,0,.,.,.,.,.,NA,.,LIVE OAK,'149,1,NA,58,88,68,92,98.6,95,71
149902,THREE RIVERS ISD,2019,7765304,392119,450974,3244577,9588,66584,0,11929146,11929146,Traditional ISD/CSD,593.135,2,LIVE OAK COUNTY,1,5,381,5,235,0,1,628,B,80,C,77,B,81,C,78,N,N,N,N,N,494,78.7,628,378,60.2,31,4.9,76,12.1,0,0,0,0,0,0,.,.,.,.,.,NA,.,LIVE OAK,'149,0,NA,45,76,52,79,93.5,75,67
150901,LLANO ISD,2019,16014553,1232113,1752885,4545194,41200,0,0,23585945,23585945,Traditional ISD/CSD,"1,639.274",13,LLANO COUNTY,14,14,463,41,1243,5,0,1780,B,88,A,90,A,91,B,82,N,N,N,N,N,1328,74.900000000000006,1774,1166,65.7,119,6.7,210,11.8,0,0,0,0,0,0,.,.,.,.,.,NA,.,LLANO,'150,1,NA,49,81,72,93,100,100,70
152802,RISE ACADEMY,2019,0,2422109,49429,0,0,0,0,2471538,2471538,Open Enrollment Charter,243.130,17,LUBBOCK COUNTY,0,216,75,6,3,0,0,300,A,95,A,92,A,93,A,100,N,Y,NA,N,Y,.,.,300,250,83.3,0,0,50,16.7,.,0,.,.,.,.,.,.,.,.,.,NA,.,LUBBOCK,'152,NA,NA,69,92,.,.,.,.,72
152803,SOUTH PLAINS ACADEMY CHARTER DISTR,2019,0,2063497,7583,0,0,0,0,2071080,2071080,Open Enrollment Charter,181.354,17,LUBBOCK COUNTY,0,17,166,3,30,0,0,216,A,90,B,87,B,82,C,77,Y,Y,NA,N,Y,.,.,215,199,92.6,8,3.7,22,10.2,0,0,.,.,.,.,6,98,5,43,1,NA,.,LUBBOCK,'152,NA,NA,25,75,40,92,100,100,67
152901,LUBBOCK ISD,2019,115344725,104008634,9861167,19608242,448658,0,0,249271426,249271426,Traditional ISD/CSD,"25,295.475",17,LUBBOCK COUNTY,536,3803,16353,592,6352,108,15,27759,B,86,B,80,B,88,B,81,N,N,N,N,N,19974,72.400000000000006,27588,19997,72.5,1279,4.6,3081,11.2,199,0.7,0,0,845,3.1,.,.,.,.,.,NA,.,LUBBOCK,'152,0,NA,44,75,60,90,92.5,70,63
152902,NEW DEAL ISD,2019,3591627,4963099,152237,0,0,1394498,0,10101461,10101461,Traditional ISD/CSD,722.818,17,LUBBOCK COUNTY,0,12,382,25,366,1,0,786,B,89,A,90,A,92,B,81,N,N,N,N,N,604,76.900000000000006,785,506,64.5,21,2.7,57,7.3,0,0,0,0,0,0,.,.,.,.,.,NA,.,LUBBOCK,'152,0,NA,47,79,83,96,100,100,70
